Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso
1993.03,20-0-O Kotokaze--61-,9-1-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,31-2-S Tsurugamine--27-,58-10-O Takanohana-HT-14-Futagoyama,,7-0-K Wakafutase--4-,21-3-O Masuiyama II--47-,36-1-Y Wakanohana II--43-,25-2-O Kaiketsu--18-,13-1-S Kongo--60-,30-0-S Fujizakura--55-,8-0-S Daijuyama--17-,23-3-O Asahikuni--67-,,,,
1993.05,20-0-O Kotokaze--61-,8-1-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,30-2-S Tsurugamine--27-,56-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,35-0-Y Wakanohana II--43-,25-2-O Kaiketsu--18-,12-1-S Kongo--60-,30-0-S Fujizakura--55-,10-0-S Daijuyama--17-,23-3-O Asahikuni--67-,,,,
1993.07,21-0-O Kotokaze--61-,8-2-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,31-2-S Tsurugamine--27-,54-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,24-2-O Kaiketsu--18-,9-1-S Kongo--60-,29-0-S Fujizakura--55-,10-0-S Daijuyama--17-,21-3-O Asahikuni--67-,,,,2-0-K Futagodake-HB-2-
1993.09,21-0-O Kotokaze--61-,8-2-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,31-2-S Tsurugamine--27-,51-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,24-1-O Kaiketsu--18-,9-1-S Kongo--60-,29-0-S Fujizakura--55-,11-0-S Daijuyama--17-,21-3-O Asahikuni--67-,,,,2-0-K Futagodake--2-
1993.11,21-0-O Kotokaze--61-,7-2-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,31-2-S Tsurugamine--27-,52-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,21-2-O Masuiyama II--47-,30-0-Y Wakanohana II--43-,22-1-O Kaiketsu--18-,9-1-S Kongo--60-,26-0-S Fujizakura--55-,11-0-S Daijuyama--17-,18-4-O Asahikuni--67-,,3-0-S Koboyama-HB-86-,,3-0-K Futagodake--2-
1994.01,22-0-O Kotokaze--61-,7-2-Y Kashiwado--30-,17-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,31-2-S Tsurugamine--27-,52-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,29-0-Y Wakanohana II--43-,22-1-O Kaiketsu--18-,9-1-S Kongo--60-,26-0-S Fujizakura--55-,12-0-S Daijuyama--17-,18-4-O Asahikuni--67-,,3-0-S Koboyama--86-,,3-0-K Futagodake--2-
1994.03,25-0-O Kotokaze--61-,7-1-Y Kashiwado--30-,20-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,33-2-S Tsurugamine--27-,55-10-O Takanohana--14-Futagoyama,,8-1-K Wakafutase--4-,27-2-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,25-0-O Kaiketsu--18-,10-1-S Kongo--60-,30-0-S Fujizakura--55-,13-0-S Daijuyama--17-,24-4-O Asahikuni--67-,,4-0-S Koboyama--86-,,2-0-K Futagodake--2-
1994.05,25-0-O Kotokaze--61-,7-1-Y Kashiwado--30-,20-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,29-2-S Sakahoko-HT-27-,54-10-O Takanohana--14-Futagoyama,,8-0-K Wakafutase--4-,26-2-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,25-1-O Kaiketsu--18-,9-1-S Kongo--60-,30-0-S Fujizakura--55-,13-0-S Daijuyama--17-,23-4-O Asahikuni--67-,,4-0-S Koboyama--86-,,2-0-K Futagodake--2-
1994.07,22-0-O Kotokaze--61-,6-1-Y Kashiwado--30-,19-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,28-2-S Sakahoko--27-,54-10-O Takanohana--14-Futagoyama,,8-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,33-0-Y Wakanohana II--43-,24-0-O Kaiketsu--18-,9-1-S Kongo--60-,29-0-S Fujizakura--55-,13-0-S Daijuyama--17-,22-4-O Asahikuni--67-,,4-0-S Koboyama--86-,,1-0-K Futagodake--2-
1994.09,22-0-O Kotokaze--61-,6-1-Y Kashiwado--30-,19-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,28-2-S Sakahoko--27-,54-10-O Takanohana--14-Futagoyama,,8-0-K Wakafutase--4-,21-2-O Masuiyama II--47-,33-0-Y Wakanohana II--43-,24-0-O Kaiketsu--18-,9-1-S Kongo--60-,29-0-S Fujizakura--55-,13-0-S Daijuyama--17-,22-4-O Asahikuni--67-,,4-0-S Koboyama--86-,,2-0-K Futagodake--2-
1994.11,20-0-O Kotokaze--61-,5-1-Y Kashiwado--30-,18-1-S Takamiyama--6-,9-0-M2 Misugiiso--50-,,27-3-S Sakahoko--27-,52-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,20-2-O Masuiyama II--47-,32-0-Y Wakanohana II--43-,23-0-O Kaiketsu--18-,9-1-S Kongo--60-,28-0-S Fujizakura--55-,12-0-S Daijuyama--17-,22-3-O Asahikuni--67-,,4-0-S Koboyama--86-,,2-0-K Futagodake--2-
1995.01,20-0-O Kotokaze--61-,5-1-Y Kashiwado--30-,17-1-S Takamiyama--6-,10-0-M2 Misugiiso--50-,,26-3-S Sakahoko--27-,50-10-O Takanohana--14-Futagoyama,,7-0-K Wakafutase--4-,20-2-O Masuiyama II--47-,29-0-Y Wakanohana II--43-,22-0-O Kaiketsu--18-,8-1-S Kongo--60-,27-0-S Fujizakura--55-,12-0-S Daijuyama--17-,23-3-O Asahikuni--67-,,4-0-S Koboyama--86-,3-0-K Kurosegawa-HB-36-,2-0-K Futagodake--2-
1995.03,23-0-O Kotokaze--61-,9-0-Y Kashiwado--30-,15-1-S Takamiyama--6-,10-0-M2 Misugiiso--50-,,29-3-S Sakahoko--27-,52-11-O Takanohana--14-Futagoyama,,7-1-K Wakafutase--4-,22-2-O Masuiyama II--47-,31-1-Y Wakanohana II--43-,24-0-O Kaiketsu--18-,13-1-S Kongo--60-,26-0-S Fujizakura--55-,13-0-S Daijuyama--17-,25-4-O Asahikuni--67-,,4-0-S Koboyama--86-,5-0-K Kurosegawa--36-,2-0-K Futagodake--2-
1995.05,21-0-O Kotokaze--61-,9-0-Y Kashiwado--30-,15-1-S Takamiyama--6-,10-0-M2 Misugiiso--50-,,29-3-S Sakahoko--27-,49-11-O Takanohana--14-Futagoyama,,7-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,29-0-Y Wakanohana II--43-,24-0-O Kaiketsu--18-,13-1-S Kongo--60-,25-0-S Fujizakura--55-,14-0-S Daijuyama--17-,25-4-O Asahikuni--67-,,2-0-S Koboyama--86-,5-0-K Kurosegawa--36-,2-0-K Futagodake--2-
1995.07,20-0-O Kotokaze--61-,8-0-Y Kashiwado--30-,14-1-S Takamiyama--6-,10-0-M2 Misugiiso--50-,,27-2-S Sakahoko--27-,48-11-O Takanohana--14-Futagoyama,,7-1-K Wakafutase--4-,21-2-O Masuiyama II--47-,28-2-Y Wakanohana II--43-,20-0-O Kaiketsu--18-,13-1-S Kongo--60-,24-0-S Fujizakura--55-,14-0-S Daijuyama--17-,25-5-O Asahikuni--67-,,2-0-S Koboyama--86-,5-0-K Kurosegawa--36-,2-0-K Futagodake--2-
